duration,wage_increase_first_year,wage_increase_second_year,wage_increase_third_year,cost_of_living_adjustment_none,cost_of_living_adjustment_tcf,cost_of_living_adjustment_tc,working_hours,pension_none,pension_ret_allw,pension_empl_contr,standby_pay,shift_differential,no_education_allowance,statutory_holidays,vacation_below_average,vacation_average,vacation_generous,no_longterm_disability_assistance,contribution_to_dental_plan_none,contribution_to_dental_plan_half,contribution_to_dental_plan_full,no_bereavement_assistance,contribution_to_health_plan_none,contribution_to_health_plan_half,contribution_to_health_plan_full,class
2,6.4,6.4,3.913333,0.594595,0.216216,0.189189,38,0.407407,0.148148,0.444444,7.444444,4,0.545455,15,0.352941,0.333333,0.313725,0.285714,0,0,1,0.1,0.216216,0.243243,0.540541,good
2,3.5,4,3.913333,1,0,0,40,0.407407,0.148148,0.444444,7.444444,2,1,10,1,0,0,1,0,1,0,0.1,0,1,0,bad
3,3.5,4,5.1,0,1,0,37,0.407407,0.148148,0.444444,7.444444,4,0.545455,13,0,0,1,0.285714,0,0,1,0,0,0,1,good
1,3,3.971739,3.913333,1,0,0,36,0.407407,0.148148,0.444444,7.444444,10,1,11,0,0,1,0.285714,0.243243,0.405405,0.351351,0.1,0.216216,0.243243,0.540541,good
2,4.5,4,3.913333,1,0,0,37,0,0,1,7.444444,4.870968,0.545455,11,0,1,0,0.285714,0,0,1,0,0.216216,0.243243,0.540541,good
1,2.8,3.971739,3.913333,0.594595,0.216216,0.189189,35,0.407407,0.148148,0.444444,7.444444,2,0.545455,12,1,0,0,0.285714,0.243243,0.405405,0.351351,0.1,0.216216,0.243243,0.540541,good
1,2.1,3.971739,3.913333,0,0,1,40,0,1,0,2,3,1,9,1,0,0,0,0,1,0,0.1,1,0,0,bad
1,2,3.971739,3.913333,1,0,0,38,1,0,0,7.444444,4.870968,0,11,0,1,0,1,1,0,0,1,1,0,0,bad
2,4,5,3.913333,0,1,0,35,0.407407,0.148148,0.444444,13,5,0.545455,15,0,0,1,0.285714,0.243243,0.405405,0.351351,0.1,0.216216,0.243243,0.540541,good
2,4.3,4.4,3.913333,0.594595,0.216216,0.189189,38,0.407407,0.148148,0.444444,7.444444,4,0.545455,12,0,0,1,0.285714,0,0,1,0.1,0,0,1,good
2,2.5,3,3.913333,0.594595,0.216216,0.189189,40,1,0,0,7.444444,4.870968,0.545455,11,1,0,0,0.285714,0.243243,0.405405,0.351351,0.1,0.216216,0.243243,0.540541,bad
3,3.5,4,4.6,0,1,0,27,0.407407,0.148148,0.444444,7.444444,4.870968,0.545455,11.09434,0.352941,0.333333,0.313725,0.285714,0.243243,0.405405,0.351351,0.1,0.216216,0.243243,0.540541,good
2,4.5,4,3.913333,0.594595,0.216216,0.189189,40,0.407407,0.148148,0.444444,7.444444,4,0.545455,10,0,0,1,0.285714,0,1,0,0.1,0,0,1,good
1,6,3.971739,3.913333,0.594595,0.216216,0.189189,38,0.407407,0.148148,0.444444,8,3,0.545455,9,0,0,1,0.285714,0.243243,0.405405,0.351351,0.1,0.216216,0.243243,0.540541,good
3,2,2,2,1,0,0,40,1,0,0,7.444444,4.870968,0.545455,10,1,0,0,0.285714,0,1,0,0,0,0,1,bad
2,4.5,4.5,3.913333,0,1,0,38.039216,0.407407,0.148148,0.444444,7.444444,4.870968,0,10,1,0,0,0,1,0,0,0.1,0,1,0,good
2,3,3,3.913333,1,0,0,33,0.407407,0.148148,0.444444,7.444444,4.870968,0,12,0,0,1,0.285714,0.243243,0.405405,0.351351,0,0,0,1,good
2,5,4,3.913333,1,0,0,37,0.407407,0.148148,0.444444,7.444444,5,1,11,1,0,0,0,0,0,1,0,0,0,1,good
3,2,2.5,3.913333,0.594595,0.216216,0.189189,35,1,0,0,7.444444,4.870968,0.545455,10,0,1,0,0.285714,0.243243,0.405405,0.351351,0,0,0,1,bad
3,4.5,4.5,5,1,0,0,40,0.407407,0.148148,0.444444,7.444444,4.870968,1,11,0,1,0,0.285714,0,1,0,0.1,0.216216,0.243243,0.540541,good
3,3,2,2.5,0,0,1,40,1,0,0,7.444444,5,1,10,1,0,0,0,0,1,0,0,0,0,1,bad
2,2.5,2.5,3.913333,0.594595,0.216216,0.189189,38,0,0,1,7.444444,4.870968,0.545455,10,0,1,0,0.285714,0.243243,0.405405,0.351351,0.1,0.216216,0.243243,0.540541,bad
2,4,5,3.913333,1,0,0,40,1,0,0,7.444444,3,1,10,1,0,0,1,1,0,0,0.1,1,0,0,bad
3,2,2.5,2.1,0,0,1,40,1,0,0,2,1,1,10,1,0,0,1,0,1,0,0,0,0,1,bad
2,2,2,3.913333,1,0,0,40,1,0,0,7.444444,4.870968,1,11,0,1,0,0,1,0,0,0,0,0,1,bad
1,2,3.971739,3.913333,0,0,1,40,0,1,0,4,0,1,11,0,0,1,1,1,0,0,1,1,0,0,bad
1,2.8,3.971739,3.913333,1,0,0,38,0,0,1,2,3,1,9,1,0,0,0,0,1,0,0.1,1,0,0,bad
3,2,2.5,2,0.594595,0.216216,0.189189,37,0,0,1,7.444444,4.870968,0.545455,10,0,1,0,0.285714,0.243243,0.405405,0.351351,0,1,0,0,bad
2,4.5,4,3.913333,1,0,0,40,0.407407,0.148148,0.444444,7.444444,4,0.545455,12,0,1,0,0,0,0,1,0,0,1,0,good
1,4,3.971739,3.913333,1,0,0,38.039216,1,0,0,7.444444,4.870968,0,11,0,1,0,1,1,0,0,1,1,0,0,bad
2,2,3,3.913333,1,0,0,38,0,0,1,7.444444,4.870968,0,12,0,0,1,0,1,0,0,0,0,0,1,bad
2,2.5,2.5,3.913333,0,0,1,39,0,0,1,7.444444,4.870968,0.545455,12,0,1,0,0.285714,0.243243,0.405405,0.351351,0,0.216216,0.243243,0.540541,bad
2,2.5,3,3.913333,0,1,0,40,1,0,0,7.444444,4.870968,0.545455,11,1,0,0,0.285714,0.243243,0.405405,0.351351,0,0.216216,0.243243,0.540541,bad
2,4,4,3.913333,1,0,0,40,1,0,0,7.444444,3,0.545455,10,1,0,0,1,1,0,0,0.1,1,0,0,bad
2,4.5,4,3.913333,0.594595,0.216216,0.189189,40,0.407407,0.148148,0.444444,7.444444,2,1,10,1,0,0,1,0,1,0,0.1,0,1,0,bad
2,4.5,4,3.913333,1,0,0,40,0.407407,0.148148,0.444444,7.444444,5,0.545455,11,0,1,0,0.285714,0,0,1,0,0,0,1,good
2,4.6,4.6,3.913333,0,1,0,38,0.407407,0.148148,0.444444,7.444444,4.870968,0.545455,11.09434,0.352941,0.333333,0.313725,0,0,1,0,0.1,0,1,0,good
2,5,4.5,3.913333,1,0,0,38,0.407407,0.148148,0.444444,14,5,0.545455,11,1,0,0,0,0.243243,0.405405,0.351351,0.1,0,0,1,good
2,5.7,4.5,3.913333,1,0,0,40,0,1,0,7.444444,4.870968,0.545455,11,0,1,0,0,0,0,1,0,0,0,1,good
2,7,5.3,3.913333,0.594595,0.216216,0.189189,38.039216,0.407407,0.148148,0.444444,7.444444,4.870968,0.545455,11,0.352941,0.333333,0.313725,0,0,0,1,0.1,0.216216,0.243243,0.540541,good
3,2,3,3.913333,0,1,0,38.039216,0,0,1,7.444444,4.870968,0,11.09434,0.352941,0.333333,0.313725,0,0,1,0,0,0.216216,0.243243,0.540541,good
3,3.5,4,4.5,0,1,0,35,0.407407,0.148148,0.444444,7.444444,4.870968,0.545455,13,0,0,1,0.285714,0.243243,0.405405,0.351351,0,0,0,1,good
3,4,3.5,3.913333,1,0,0,40,0,0,1,7.444444,6,0.545455,11,0,1,0,0,0,0,1,0.1,0,0,1,good
3,5,4.4,3.913333,1,0,0,38,0,0,1,10,6,0.545455,11,0,0,1,0,0.243243,0.405405,0.351351,0.1,0,0,1,good
3,5,5,5,0.594595,0.216216,0.189189,40,0.407407,0.148148,0.444444,7.444444,4.870968,0.545455,12,0,1,0,0.285714,0,1,0,0,0,1,0,good
3,6,6,4,0.594595,0.216216,0.189189,35,0.407407,0.148148,0.444444,7.444444,14,0.545455,9,0,0,1,0,0,0,1,0,0,0,1,good
